time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT
"2013-08-13 15_45_37","672","988","48"
"2013-08-13 15_45_37","835","1090","35"
"2013-08-13 15_45_37","855","1333","42"
"2013-08-13 15_45_37","735","1299","23"
"2013-08-13 15_45_37","829","1598","34"
"2013-08-13 15_45_38","835","1472","28"
"2013-08-13 15_45_38","855","1970","36"
"2013-08-13 15_45_38","829","2171","29"
"2013-08-13 15_45_38","672","2267","41"
"2013-08-13 15_45_38","914","2297","39"
"2013-08-13 15_45_39","855","2763","49"
"2013-08-13 15_45_39","835","2669","30"
"2013-08-13 15_45_39","829","3093","26"
"2013-08-13 15_45_39","839","2897","47"
"2013-08-13 15_45_39","835","3199","31"
"2013-08-13 15_45_39","829","3662","46"
"2013-08-13 15_45_40","672","3708","25"
"2013-08-13 15_45_40","855","3902","43"
"2013-08-13 15_45_40","914","4099","44"
"2013-08-13 15_45_40","829","4232","32"
"2013-08-13 15_45_40","672","4299","40"
"2013-08-13 15_45_41","835","4395","38"
"2013-08-13 15_45_41","672","4691","37"
"2013-08-13 15_45_41","914","5292","27"
"2013-08-13 15_45_42","835","5593","33"
"2013-08-13 15_45_42","914","6188","21"
"2013-08-13 15_45_43","835","6813","22"
"2013-08-13 15_45_44","835","7298","45"
"2013-08-13 15_45_44","835","7893","50"
"2013-08-13 15_45_45","851","8889","24"
"2013-08-13 15_45_48","3924","982","48"
"2013-08-13 15_45_49","3645","1403","35"
"2013-08-13 15_45_49","3645","1904","42"
"2013-08-13 15_45_50","3061","1535","36"
"2013-08-13 15_45_50","2672","1731","29"
"2013-08-13 15_45_50","865","1969","28"
"2013-08-13 15_45_51","3645","3004","23"
"2013-08-13 15_45_51","3366","3564","34"
"2013-08-13 15_45_52","2808","3288","41"
"2013-08-13 15_45_52","2529","3799","39"
"2013-08-13 15_45_53","918","3200","31"
"2013-08-13 15_45_54","2250","4624","49"
"2013-08-13 15_45_54","886","3965","43"
"2013-08-13 15_45_55","1971","5705","30"
"2013-08-13 15_45_55","2547","6149","26"
"2013-08-13 15_45_56","1692","6526","47"
"2013-08-13 15_45_57","1413","6814","46"
"2013-08-13 15_45_57","842","5701","27"
"2013-08-13 15_45_58","1413","7865","25"
"2013-08-13 15_45_58","855","8085","32"
"2013-08-13 15_45_59","839","6891","33"
"2013-08-13 15_46_00","855","9283","44"
"2013-08-13 15_46_00","1666","898","35"
"2013-08-13 15_46_00","855","9695","40"
"2013-08-13 15_46_01","855","10005","38"
"2013-08-13 15_46_01","758","8204","22"
"2013-08-13 15_46_02","855","11202","37"
"2013-08-13 15_46_03","855","9926","21"
"2013-08-13 15_46_03","2103","804","41"
"2013-08-13 15_46_03","855","9304","45"
"2013-08-13 15_46_04","855","9301","50"
"2013-08-13 15_46_04","1415","900","31"
"2013-08-13 15_46_04","855","9261","24"
"2013-08-13 15_46_05","1989","6698","48"
"2013-08-13 15_46_06","3123","5904","42"
"2013-08-13 15_46_06","3699","6202","36"
"2013-08-13 15_46_07","2567","6574","29"
"2013-08-13 15_46_07","3978","7108","28"
"2013-08-13 15_46_08","5985","7105","23"
"2013-08-13 15_46_09","6561","7003","34"
"2013-08-13 15_46_09","7452","6476","39"
"2013-08-13 15_46_10","8343","5908","49"
"2013-08-13 15_46_10","8919","5907","43"
"2013-08-13 15_46_11","813","901","44"
"2013-08-13 15_46_11","8919","5809","30"
"2013-08-13 15_46_12","857","898","40"
"2013-08-13 15_46_12","8919","5811","26"
"2013-08-13 15_46_12","8343","5797","47"
"2013-08-13 15_46_13","7830","5805","46"
"2013-08-13 15_46_13","7191","5803","27"
"2013-08-13 15_46_14","6615","5905","25"
"2013-08-13 15_46_15","6039","5905","32"
"2013-08-13 15_46_15","6023","5908","33"
"2013-08-13 15_46_16","6039","5605","35"
"2013-08-13 15_46_17","6615","5304","38"
"2013-08-13 15_46_17","6615","5177","22"
"2013-08-13 15_46_18","6678","5310","37"
"2013-08-13 15_46_18","6039","5309","21"
"2013-08-13 15_46_19","6075","5603","41"
"2013-08-13 15_46_20","6049","5910","45"
"2013-08-13 15_46_20","5463","5812","50"
